id,gender,bdate,educ,jobcat,salary,salbegin,jobtime,prevexp,minority
134,Female,10-11-1941,16,Manager,41550,24990,89,285,No
135,Female,22-05-1968,12,Clerical,26250,10950,89,missing,No
136,Male,25-08-1939,12,Clerical,22200,15000,88,324,No
137,Male,12-07-1937,21,Manager,65000,37500,88,264,No
138,Male,09-01-1947,12,Clerical,30900,15000,88,252,No
139,Female,18-06-1931,8,Clerical,20100,13200,88,90,No
140,Female,05-04-1965,12,Clerical,22350,13500,88,26,No
141,Female,14-06-1966,15,Clerical,35550,13350,88,32,No
142,Female,13-11-1966,12,Clerical,28500,13950,88,34,No
143,Female,24-08-1939,12,Clerical,24450,13200,88,107,No
144,Female,28-08-1931,8,Clerical,16650,9750,88,412,No
145,Male,15-01-1964,12,Clerical,26700,13500,88,38,Yes
146,Male,02-01-1951,18,Clerical,43950,23250,88,182,Yes
147,Male,11-09-1936,15,Clerical,23700,13500,88,359,Yes
148,Female,05-10-1959,15,Clerical,26550,14250,88,61,Yes
149,Male,28-06-1962,12,Clerical,27600,15000,87,75,No
150,Male,05-03-1954,12,Clerical,25800,15000,87,143,No
151,Male,16-08-1954,16,Manager,42300,26250,87,126,No
152,Male,03-05-1929,8,Custodial,30750,15000,87,451,No
153,Female,13-05-1967,12,Clerical,26700,12900,87,18,No
154,Female,07-06-1940,12,Clerical,20850,12000,87,163,No
155,Male,06-03-1963,15,Clerical,35250,15000,87,54,Yes
156,Male,12-01-1963,15,Clerical,26700,15000,87,56,Yes
157,Female,02-07-1967,12,Clerical,26550,13050,87,11,Yes
158,Female,20-09-1964,12,Clerical,27750,12000,87,11,Yes
159,Female,13-01-1951,16,Clerical,25050,12750,87,123,Yes
160,Male,27-08-1951,16,Manager,66000,47490,86,150,No
161,Male,11-02-1963,16,Clerical,52650,19500,86,20,No
162,Male,25-05-1961,16,Manager,45625,23250,86,60,No
163,Male,10-11-1965,15,Clerical,30900,15000,86,25,No
164,Female,13-08-1965,15,Clerical,29400,16500,86,24,No
165,Female,29-04-1966,15,Clerical,33300,13500,86,24,No
166,Female,12-07-1942,12,Clerical,21900,9750,86,156,No
167,Female,26-08-1932,12,Clerical,18150,9750,86,72,No
168,Female,23-04-1962,16,Manager,46875,17250,86,19,No
169,Male,23-05-1965,12,Clerical,25500,14400,86,37,Yes
170,Male,13-06-1964,12,Clerical,26550,15000,86,38,Yes
171,Male,21-01-1930,12,Clerical,26700,13500,86,367,Yes
172,Female,13-06-1953,15,Clerical,29850,15000,86,79,Yes
173,Male,15-01-1950,20,Manager,69250,42480,85,134,No
174,Male,07-01-1935,8,Custodial,31950,15000,85,438,No
175,Male,08-01-1938,8,Clerical,26250,15600,85,171,No
176,Female,05-10-1962,16,Clerical,35700,17250,85,19,No
177,Female,11-08-1962,12,Clerical,28500,16500,85,69,No
178,Female,17-01-1938,12,Clerical,17100,10200,85,72,No
179,Male,19-01-1965,12,Clerical,25200,13050,85,29,Yes
180,Female,23-01-1960,12,Clerical,24000,12750,85,59,Yes
181,Female,04-01-1939,12,Clerical,27450,10200,85,101,Yes
182,Female,08-03-1943,12,Clerical,18450,10200,85,228,Yes
183,Male,01-03-1960,15,Clerical,39300,15750,84,72,No
184,Male,05-11-1964,15,Clerical,38850,15000,84,53,No
185,Male,28-08-1930,8,Custodial,30750,15000,84,380,No
186,Male,06-07-1964,15,Clerical,37500,20400,84,33,No
187,Male,29-07-1963,16,Manager,58750,21750,84,13,No
188,Female,04-02-1934,12,Clerical,34500,18750,84,208,No
189,Female,28-03-1950,12,Clerical,36000,19980,84,240,No
190,Female,15-11-1932,8,Clerical,29100,16500,84,35,No
191,Female,23-10-1931,12,Clerical,16500,10200,84,288,No
192,Male,09-10-1949,12,Clerical,19650,12750,84,180,Yes
193,Female,22-07-1966,12,Clerical,24750,12000,84,41,Yes
194,Female,10-04-1938,15,Clerical,27150,15750,84,231,Yes
195,Female,06-11-1955,12,Clerical,26400,12750,84,36,Yes
196,Female,03-03-1946,16,Clerical,23100,12000,84,214,Yes
197,Male,01-10-1962,15,Manager,54900,25500,83,49,No
198,Male,17-03-1952,19,Manager,70875,43500,83,156,No
199,Male,02-02-1958,16,Manager,51250,27480,83,69,No
200,Male,13-02-1963,17,Manager,67500,34980,83,9,No
201,Male,08-05-1955,12,Clerical,29340,19500,83,150,No
202,Male,17-03-1963,15,Clerical,39600,16500,83,47,No
203,Male,17-03-1964,12,Clerical,29100,15000,83,50,No
204,Male,21-10-1960,15,Clerical,33150,16500,83,69,No
205,Male,22-06-1944,16,Manager,66750,52500,83,258,No
206,Male,22-05-1943,12,Custodial,33750,15000,83,284,No
207,Male,15-02-1959,15,Clerical,27300,17250,83,91,No
208,Female,28-11-1968,12,Clerical,24000,11250,83,16,No
209,Female,14-01-1934,8,Clerical,19800,10200,83,75,No
210,Male,04-05-1949,15,Clerical,30600,16500,83,216,Yes
211,Male,08-11-1950,15,Clerical,28950,15000,83,108,Yes
212,Male,14-05-1965,15,Clerical,38400,16500,83,64,Yes
213,Male,20-10-1945,8,Custodial,30750,15000,83,302,Yes
214,Female,13-09-1968,12,Clerical,20400,10950,83,9,Yes
215,Female,15-09-1968,12,Clerical,19200,11100,83,7,Yes
216,Male,16-05-1964,15,Clerical,30150,15750,82,72,No
217,Male,15-03-1949,16,Clerical,34620,27750,82,149,No
218,Male,21-03-1964,15,Clerical,80000,15750,82,34,No
219,Male,02-02-1963,12,Clerical,25350,15000,82,32,No
220,Male,17-08-1963,12,Clerical,29850,15750,82,85,No
221,Female,22-05-1947,12,Clerical,24000,13800,82,97,No
222,Female,15-09-1935,15,Clerical,27750,19500,82,265,No
223,Female,14-03-1942,8,Clerical,22350,10200,82,48,No
224,Female,20-11-1934,12,Clerical,16200,10200,82,missing,No
225,Female,13-10-1967,15,Clerical,21900,12750,82,missing,No
226,Female,21-06-1964,16,Clerical,23250,15750,82,4,No
227,Female,17-07-1965,12,Clerical,33900,12000,82,11,No
228,Female,21-09-1963,15,Clerical,25650,14250,82,51,No
229,Female,21-08-1940,12,Clerical,17250,10200,82,358,No
230,Male,04-02-1934,15,Clerical,22500,15000,82,371,Yes
231,Male,09-01-1965,16,Manager,40200,21000,81,3,No
232,Male,13-09-1963,19,Manager,55500,33750,81,62,No
233,Male,21-07-1963,15,Clerical,26550,15000,81,52,No
234,Male,12-11-1960,15,Clerical,50550,19500,81,44,No
235,Male,11-09-1962,19,Manager,75000,31500,81,13,No
236,Female,02-05-1969,8,Clerical,27450,12000,81,9,No
237,Female,04-06-1969,12,Clerical,22650,11250,81,missing,No
238,Female,15-06-1969,12,Clerical,27300,11250,81,5,No
239,Female,14-09-1969,12,Clerical,27750,11225,81,5,No
240,Female,15-06-1961,16,Manager,54375,18750,81,81,No
241,Female,27-08-1936,8,Clerical,17400,10200,81,390,No
242,Female,03-11-1967,12,Clerical,40800,18000,81,4,No
243,Female,10-02-1969,12,Clerical,23100,10950,81,missing,No
244,Female,15-09-1969,8,Clerical,22500,10950,81,5,No
245,Female,16-03-1969,12,Clerical,26700,11550,81,18,No
246,Female,14-01-1968,12,Clerical,24900,11250,81,missing,No
247,Female,13-05-1968,12,Clerical,19650,10950,81,11,No
248,Female,09-04-1969,12,Clerical,22050,10950,81,9,No
249,Female,09-05-1969,12,Clerical,25500,12000,81,11,No
250,Female,10-10-1966,15,Clerical,28200,12750,81,19,No
251,Female,19-01-1969,12,Clerical,23100,11250,81,13,No
252,Male,18-09-1969,12,Clerical,25500,11400,81,9,Yes
253,Female,21-02-1942,8,Clerical,17100,10200,81,missing,Yes
254,Male,08-02-1964,18,Manager,68125,32490,80,29,No
255,Male,15-08-1932,12,Custodial,30600,15750,80,460,No
256,Male,03-01-1948,19,Manager,52125,27480,80,221,No
257,Male,24-09-1951,19,Manager,61875,36750,80,199,No
258,Male,09-03-1969,8,Clerical,21300,11550,80,24,No
259,Female,15-03-1969,12,Clerical,19650,11250,80,5,No
260,Female,20-02-1969,12,Clerical,22350,11250,80,5,No
261,Female,27-03-1969,12,Clerical,23400,11250,80,18,No
262,Female,20-06-1968,12,Clerical,24300,10950,80,8,No
263,Female,13-10-1968,12,Clerical,28500,11250,80,4,No
264,Female,16-01-1969,12,Clerical,19950,11250,80,8,No
265,Female,24-09-1969,12,Clerical,23400,11250,80,missing,No
266,Female,07-10-1963,16,Clerical,34500,17250,80,3,No
267,Female,24-08-1969,12,Clerical,18150,10950,80,missing,No
268,Male,16-05-1936,12,Clerical,22350,15000,80,272,Yes
269,Male,17-03-1966,15,Clerical,40200,17250,79,38,No
270,Male,29-10-1947,15,Clerical,28650,18000,79,261,No
271,Male,24-08-1963,15,Clerical,27750,16500,79,55,No
272,Male,17-06-1964,18,Clerical,66875,31980,79,30,No
273,Male,12-11-1939,12,Custodial,30000,15750,79,308,No
274,Male,04-08-1964,16,Manager,83750,21750,79,12,No
275,Male,14-01-1963,12,Clerical,33900,16500,79,94,No
276,Male,11-05-1965,16,Manager,56500,21000,79,12,No
277,Female,20-05-1965,16,Manager,43000,17490,79,20,No
278,Female,12-06-1943,8,Clerical,20850,12000,79,70,No
279,Female,16-04-1969,12,Clerical,24450,12000,79,8,No
280,Female,20-10-1969,12,Clerical,24750,10950,79,5,No
281,Male,18-02-1945,8,Custodial,34500,15750,79,246,Yes
282,Male,15-09-1963,14,Clerical,27900,15000,79,47,Yes
283,Male,25-02-1963,19,Manager,68125,32010,78,35,No
284,Male,10-10-1961,19,Manager,73500,33000,78,45,No
285,Male,28-05-1930,8,Custodial,30750,15750,78,429,No
286,Male,07-03-1958,15,Manager,40050,25500,78,133,No
287,Male,18-01-1965,16,Clerical,40350,19500,78,20,No
288,Male,22-01-1955,15,Manager,38700,23730,78,176,No
289,Male,27-10-1964,17,Manager,65000,30750,78,26,No
290,Male,05-04-1954,18,Manager,51450,36240,78,149,No
291,Male,23-09-1934,12,Custodial,35250,15750,78,387,No
292,Male,07-05-1963,14,Clerical,25950,15000,78,53,No
293,Male,19-09-1965,15,Clerical,25050,14250,78,24,No
294,Male,10-10-1968,12,Clerical,26700,12750,78,25,No
295,Male,20-08-1932,8,Clerical,24000,15750,78,476,No
296,Male,12-02-1964,12,Clerical,26850,15000,78,48,No
297,Female,16-04-1942,12,Clerical,23400,15300,78,209,No
298,Female,24-08-1966,12,Clerical,24600,13500,78,47,No
299,Female,11-05-1965,15,Clerical,32550,18000,78,6,No
300,Male,26-05-1960,16,Clerical,26550,15000,78,105,Yes
301,Male,04-08-1968,12,Clerical,31500,13500,78,7,Yes
302,Male,28-09-1939,8,Clerical,22350,15000,78,320,Yes
303,Male,10-02-1938,12,Custodial,35250,15750,78,281,Yes
304,Female,28-09-1945,15,Clerical,25800,13500,78,51,Yes
305,Male,25-10-1941,12,Custodial,30750,15750,77,317,No
306,Male,05-04-1966,15,Clerical,30750,16500,77,41,No
307,Male,24-07-1945,16,Manager,50000,32490,77,264,No
308,Male,01-02-1963,15,Clerical,34500,18000,77,63,No
309,Male,19-07-1964,15,Clerical,26250,15750,77,38,No
310,Male,23-03-1964,16,Clerical,44875,21240,77,22,No
311,Female,15-02-1951,12,Clerical,22500,12000,77,63,No
312,Female,12-03-1963,12,Clerical,25650,14250,77,64,No
313,Female,25-10-1969,12,Clerical,21300,11250,77,missing,No
314,Female,24-11-1966,12,Clerical,29850,13500,77,38,No
315,Female,19-09-1969,12,Clerical,34500,12150,77,4,No
316,Male,14-01-1960,15,Clerical,27750,15000,77,52,Yes
317,Male,27-02-1969,12,Clerical,27750,11550,77,12,Yes
318,Male,19-02-1961,16,Manager,48750,21990,76,61,No
319,Male,02-03-1966,15,Clerical,43410,15750,76,12,No
320,Male,10-11-1936,12,Clerical,22050,15000,76,385,No
321,Female,26-10-1953,12,Clerical,22050,12000,76,6,No
322,Female,02-03-1938,12,Clerical,22500,14250,76,90,No
323,Female,13-05-1967,15,Clerical,25500,12000,76,7,No
324,Female,14-10-1966,12,Clerical,29160,15000,76,22,No
325,Female,04-11-1934,8,Clerical,16800,10200,76,76,No
326,Male,24-07-1958,8,Custodial,29550,15750,76,144,Yes
327,Male,02-03-1965,12,Clerical,26700,15750,76,18,Yes
328,Male,25-10-1952,18,Manager,55000,32490,75,125,No
329,Male,24-08-1958,18,Manager,62500,34980,75,74,No
330,Male,09-05-1959,15,Clerical,27300,17250,75,132,No
331,Female,04-02-1942,12,Clerical,24450,12000,75,144,No
332,Female,10-05-1964,16,Clerical,33000,18000,75,26,No
333,Female,26-01-1965,15,Clerical,37050,18000,75,5,No
334,Female,09-05-1966,12,Clerical,24450,10950,75,32,Yes
335,Male,26-02-1930,8,Custodial,31950,15750,74,408,No
336,Male,10-01-1964,16,Manager,47250,21240,74,45,No
337,Female,27-01-1970,12,Clerical,26100,11550,74,2,No
338,Female,12-08-1938,8,Clerical,15900,10200,74,43,No
339,Female,07-11-1942,8,Clerical,23700,10650,74,281,No
340,Female,06-05-1934,8,Clerical,21750,12450,74,318,No
341,Male,20-01-1945,12,Manager,59400,33750,74,272,Yes
342,Female,01-06-1948,12,Clerical,24450,14250,74,117,Yes
343,Male,09-06-1953,16,Manager,103500,60000,73,150,No
344,Male,13-10-1963,12,Clerical,35700,16500,73,72,No
345,Female,05-05-1969,12,Clerical,22200,16500,73,7,No
346,Female,16-08-1968,15,Clerical,22950,13950,73,22,No
347,Female,10-08-1944,12,Clerical,23100,12000,73,228,No
348,Female,11-06-1962,16,Manager,56750,30000,73,15,No
349,Female,22-03-1938,17,Clerical,29100,12750,73,375,No
350,Female,21-04-1939,12,Clerical,37650,15750,73,132,No
351,Female,27-01-1966,12,Clerical,27900,13500,73,32,No
352,Female,26-11-1933,8,Clerical,21150,12000,73,159,No
353,Male,10-03-1955,12,Custodial,31200,15750,73,155,Yes
354,Female,08-05-1946,12,Clerical,20550,11250,73,154,Yes
355,Male,19-05-1961,15,Clerical,25950,17250,72,83,No
356,Male,10-11-1965,15,Clerical,28350,15000,72,48,No
357,Female,18-01-1932,8,Clerical,17700,10200,72,184,No
358,Female,11-04-1944,15,Clerical,23550,13500,72,49,No
359,Female,12-06-1941,12,Clerical,19950,10200,72,56,No
360,Female,11-08-1968,12,Clerical,29400,15300,72,30,No
361,Female,09-06-1966,12,Clerical,28800,13950,72,18,No
362,Female,08-04-1937,8,Clerical,16950,10200,72,319,No
363,Male,03-06-1954,16,Clerical,35700,18000,72,138,Yes
364,Female,26-03-1947,12,Clerical,17400,10200,72,116,Yes
365,Female,16-10-1948,8,Clerical,21450,10200,72,194,Yes
366,Female,21-03-1961,12,Clerical,24750,12000,72,68,Yes
367,Female,22-05-1942,12,Clerical,16950,10200,72,271,Yes
368,Female,20-07-1943,12,Clerical,26100,13500,72,169,Yes
369,Male,14-11-1967,14,Clerical,28050,15000,71,15,No
370,Female,20-01-1963,16,Clerical,36600,18000,71,12,No
371,Female,05-04-1966,16,Manager,58125,18000,71,11,No
372,Male,22-08-1935,15,Clerical,21300,15750,70,372,No
373,Male,29-10-1949,12,Clerical,22500,16500,70,216,No
374,Male,26-07-1967,15,Clerical,29400,15750,70,15,No
375,Male,08-10-1966,12,Clerical,27450,14700,70,41,No
376,Male,09-10-1964,15,Clerical,29850,15750,70,48,No
377,Male,29-11-1965,15,Clerical,25350,15750,70,56,No
378,Female,21-09-1930,8,Clerical,15750,10200,70,275,No
379,Female,12-05-1938,8,Clerical,19650,13050,70,102,No
380,Female,22-02-1941,12,Clerical,21000,13500,70,82,No
381,Male,15-07-1946,17,Clerical,27000,18000,70,192,Yes
382,Male,20-10-1959,12,Clerical,24000,15750,70,120,Yes
383,Male,03-06-1961,17,Manager,78500,28740,70,67,Yes
384,Female,11-11-1955,12,Clerical,20850,13050,70,127,Yes
385,Male,01-10-1930,12,Custodial,30000,15750,69,348,No
386,Male,18-08-1934,8,Custodial,28500,15750,69,174,No
387,Male,03-02-1965,19,Manager,65000,31980,69,74,No
388,Male,02-01-1959,14,Clerical,30150,16500,69,110,No
389,Male,15-04-1959,19,Manager,66875,32490,69,81,No
390,Female,09-11-1968,15,Clerical,24150,13500,69,7,No
391,Female,12-01-1969,12,Clerical,24450,12450,69,12,No
392,Female,12-05-1970,12,Clerical,21600,12000,69,missing,No
393,Female,24-06-1969,12,Clerical,27900,12450,69,missing,No
394,Female,04-02-1970,8,Clerical,29100,12450,69,17,No
395,Female,09-03-1970,12,Clerical,22650,11250,69,2,No
396,Female,17-08-1970,12,Clerical,20850,11250,69,missing,No
397,Female,17-01-1970,12,Clerical,22950,12300,69,5,No
398,Female,21-11-1970,12,Clerical,30600,12450,69,5,No
399,Female,06-02-1970,12,Clerical,20400,11250,69,missing,No
400,Female,06-08-1969,12,Clerical,23850,12750,69,20,No
401,Female,14-03-1970,12,Clerical,22800,11250,69,missing,No
402,Female,07-02-1970,12,Clerical,20700,11250,69,2,No
403,Female,28-04-1970,12,Clerical,21300,11250,69,3,Yes
404,Female,01-05-1953,12,Clerical,24300,15000,69,121,Yes
405,Female,12-07-1944,12,Clerical,19650,13950,69,133,Yes
406,Male,05-10-1965,17,Manager,60000,32490,68,17,No
407,Male,06-09-1965,15,Clerical,30300,15750,68,55,No
408,Male,12-02-1964,19,Manager,61250,33000,68,9,No
409,Male,21-11-1962,19,Clerical,36000,19500,68,21,No
410,Female,09-01-1942,8,Clerical,25200,18750,68,344,No
411,Female,21-08-1931,12,Clerical,16200,10200,68,180,No
412,Female,16-06-1970,12,Clerical,22800,11250,68,2,No
413,Female,13-03-1966,16,Manager,43500,19500,68,11,No
414,Male,08-01-1961,8,Custodial,30300,15750,68,155,Yes
415,Male,02-05-1963,15,Clerical,31950,15750,68,70,Yes
416,Male,16-01-1965,15,Clerical,35250,13500,67,6,No
417,Male,22-07-1967,15,Clerical,37800,15000,67,36,No
418,Male,05-06-1965,15,Clerical,31200,15750,67,46,No
419,Male,20-10-1964,15,Clerical,29400,16500,67,68,No
420,Male,16-07-1957,19,Manager,70000,35040,67,75,No
421,Male,01-11-1961,15,Clerical,33900,15750,67,96,No
422,Male,20-07-1963,15,Clerical,27150,16500,67,78,No
423,Female,26-04-1936,12,Clerical,22200,13800,67,196,No
424,Female,06-07-1966,15,Clerical,31350,11100,67,47,No
425,Female,26-01-1942,12,Clerical,20850,13500,67,181,No
426,Male,27-10-1952,16,Clerical,33300,17490,67,120,Yes
427,Male,21-04-1942,8,Clerical,26250,16050,67,97,Yes
428,Male,28-02-1964,15,Clerical,31950,15750,67,58,Yes
429,Male,13-08-1946,8,Custodial,30000,15750,67,305,Yes
430,Male,29-04-1956,19,Manager,66250,34980,67,99,Yes
431,Male,15-01-1959,18,Manager,86250,45000,66,50,No
432,Male,12-03-1964,12,Clerical,30750,15000,66,56,No
433,Male,15-11-1966,12,Clerical,33540,15750,66,47,No
434,Male,,16,Clerical,34950,20250,66,55,No
435,Male,24-05-1964,15,Clerical,40350,16500,66,80,No
436,Male,27-05-1965,12,Clerical,30270,15750,66,80,No
437,Male,04-09-1933,8,Clerical,26250,16050,66,264,No
438,Male,11-10-1964,15,Clerical,32400,15000,66,64,No
439,Female,25-06-1970,12,Clerical,20400,11250,66,missing,No
440,Female,10-11-1947,8,Clerical,24150,12750,66,96,No
441,Female,02-08-1949,15,Clerical,23850,13500,66,122,No
442,Female,18-09-1968,12,Clerical,29700,13500,66,26,No
443,Female,10-02-1929,8,Clerical,21600,13500,66,228,No
444,Female,16-09-1961,12,Clerical,24450,15750,66,87,No
